system,family,n,paths_total,path_index,iterations,min_dt,median_dt,max_dt,mean_dt,min_radius,median_radius,mean_radius_theory_gap,max_eta,min_r_theory
katsura5,katsura,5,16,7,42,0.009341372236694824,0.015025884752370046,0.08024438538454404,0.023809523809523805,4.8828125e-5,0.00078125,188644.26473894605,0.006562500002833853,0.0
katsura5,katsura,5,16,8,43,0.005593451171728179,0.014678316033097959,0.09354362417228333,0.02325581395348838,0.000390625,0.0015625,197689.45983339217,0.006562500002833853,0.0
katsura5,katsura,5,16,9,27,0.005460126120684833,0.029264248001784007,0.09885732469437532,0.037037037037037035,0.000390625,0.000390625,59565.96655308748,0.006562500002833853,0.0
katsura5,katsura,5,16,10,43,0.0051731453136961226,0.01459084549144017,0.0840772426736199,0.02325581395348837,0.000390625,0.000390625,142085.49562284397,0.006562500002833853,0.0
katsura5,katsura,5,16,11,27,0.005625331544279655,0.0182455198574666,0.16360012416337832,0.037037037037037035,0.0015625,0.003125,179873.97981964482,0.0090025930724038,0.0
katsura5,katsura,5,16,12,47,4.579363721976814e-16,0.013687706188332463,0.08962620225188064,0.021276595744680847,1.3877787807814458e-18,0.00078125,4.340690369271832e8,0.006562500002833853,0.0
katsura5,katsura,5,16,13,36,0.001555282823987216,0.015983459455560074,0.11771749210071489,0.027777777777777776,0.00078125,0.00078125,35255.64595592453,0.006562500002833853,0.0
katsura5,katsura,5,16,14,34,0.0015686203464442198,0.019759541575499258,0.10607494472339284,0.02941176470588235,0.00078125,0.00078125,33098.13278034952,0.006562500002833853,0.0
katsura5,katsura,5,16,15,21,0.002357705118866904,0.03450950561394544,0.12236919401201936,0.047619047619047616,0.0015625,0.003125,99314.51132623597,0.008111747442872798,0.0
katsura5,katsura,5,16,16,16,0.0290738958931201,0.04834055666914966,0.15550164009967896,0.0625,0.0015625,0.0015625,78177.77898460069,0.010140528287162156,0.0
katsura6,katsura,6,32,1,21,0.016180738238571912,0.049042277539995564,0.0951942348687387,0.047619047619047616,0.00078125,0.00078125,63608.24701314941,0.006140973943959636,0.0
katsura6,katsura,6,32,2,19,0.01865283312431598,0.03791949623371728,0.12794115403477976,0.05263157894736842,0.0015625,0.0015625,132624.5418906126,0.006919777765394424,0.0
katsura6,katsura,6,32,3,33,0.0013530784979344092,0.01848885771841996,0.10226358678761614,0.030303030303030304,0.00078125,0.00078125,53815.87319948165,0.005573557606731635,0.0
